"","edid","year","variable","party","value"
"1","","","","",""
"2","1","2014","DICKSON","ONTARIO LIBERAL PARTY","26257"
"3","1","2014","KING","NEW DEMOCRATIC PARTY OF ONTARIO","8274"
"4","1","2014","MCCARTHY","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","14999"
"5","1","2014","NARRAWAY","THE GREEN PARTY OF ONTARIO","1589"
"6","1","2014","STEWART","ONTARIO LIBERTARIAN PARTY","301"
"7","1","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","230"
"8","1","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","114"
"9","1","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","236"
"10","1","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","52000"
"11","1","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","103629"
"12","2","2014","HADIDIAN","ONTARIO LIBERTARIAN PARTY","441"
"13","2","2014","HUGHSON","ONTARIO LIBERAL PARTY","6504"
"14","2","2014","MANTHA","NEW DEMOCRATIC PARTY OF ONTARIO","14171"
"15","2","2014","TURNER","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","4589"
"16","2","2014","ZALUCKY","THE GREEN PARTY OF ONTARIO","828"
"17","2","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","166"
"18","2","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","54"
"19","2","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","107"
"20","2","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","26860"
"21","2","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","54395"
"22","3","2014","DARTSCH","THE GREEN PARTY OF ONTARIO","2639"
"23","3","2014","JOHNSTONE","NEW DEMOCRATIC PARTY OF ONTARIO","8415"
"24","3","2014","LANGTON","ONTARIO LIBERTARIAN PARTY","423"
"25","3","2014","MCKEEKIN","MCKEEKIN","24042"
"26","3","2014","SKELLY","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","18252"
"27","3","2014","SPRUCE","FREEDOM                        ","188"
"28","3","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","219"
"29","3","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","86"
"30","3","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","530"
