"","edid","year","variable","party","value"
"31","3","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","54794"
"32","3","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","92833"
"33","4","2014","BRADBURY","NEW DEMOCRATIC PARTY OF ONTARIO","7975"
"34","4","2014","HOGGARTH","ONTARIO LIBERAL PARTY","19916"
"35","4","2014","JACKSON","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","17667"
"36","4","2014","NORTH","THE GREEN PARTY OF ONTARIO","3018"
"37","4","2014","ROSKAM","ONTARIO LIBERTARIAN PARTY","366"
"38","4","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","211"
"39","4","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","89"
"40","4","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","511"
"41","4","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","49753"
"42","4","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","101169"
"43","5","2014","JOHNSON","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","5982"
"44","5","2014","LINDSAY","ONTARIO LIBERTARIAN PARTY","524"
"45","5","2014","POLEY.FISHER","POLEY.FISHER","158"
"46","5","2014","POTTS","ONTARIO LIBERAL PARTY","17218"
"47","5","2014","PRUE","NEW DEMOCRATIC PARTY OF ONTARIO","16737"
"48","5","2014","SCOTT","THE GREEN PARTY OF ONTARIO","2329"
"49","5","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","199"
"50","5","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","101"
"51","5","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","194"
"52","5","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","43442"
"53","5","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","77381"
"54","6","2014","JASWAL","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","9403"
"55","6","2014","KULAR","ONTARIO LIBERAL PARTY","17873"
"56","6","2014","SINGH","NEW DEMOCRATIC PARTY OF ONTARIO","23519"
"57","6","2014","THORNHAM","THE GREEN PARTY OF ONTARIO","2277"
"58","6","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","406"
"59","6","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","184"
"60","6","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","163"
"61","6","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","53825"
"62","6","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","119534"
"63","7","2014","DHILLON","NEW DEMOCRATIC PARTY OF ONTARIO","13513"
"64","7","2014","HILL","COMMUNIST                      ","382"
"65","7","2014","HUNDAL","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","10117"
"66","7","2014","MALHI","ONTARIO LIBERAL PARTY","16927"
"67","7","2014","ZARRABI.YAN","ZARRABI.YAN","1311"
"68","7","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","233"
"69","7","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","132"
"70","7","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","201"
"71","7","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","42816"
"72","7","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","94424"
"73","8","2014","CHACIN","ONTARIO LIBERTARIAN PARTY","878"
"74","8","2014","DHILLON","NEW DEMOCRATIC PARTY OF ONTARIO","24832"
"75","8","2014","EBRAHIM","THE GREEN PARTY OF ONTARIO","1504"
"76","8","2014","HARLSON","FREEDOM                        ","540"
"77","8","2014","PANAICH","NEW DEMOCRATIC PARTY OF ONTARIO","12985"
"78","8","2014","SANDHU","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","13363"
"79","8","2014","SULLIVAN","FAMILY COALITION PARTY OF ONTARIO","800"
"80","8","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","502"
"81","8","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","215"
"82","8","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","235"
"83","8","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","55854"
"84","8","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","131434"
"85","9","2014","BURNS","THE GREEN PARTY OF ONTARIO","2095"
"86","9","2014","FELSKY","NEW DEMOCRATIC PARTY OF ONTARIO","13992"
"87","9","2014","FERGUSON","ONTARIO LIBERTARIAN PARTY","374"
"88","9","2014","GILLIES","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","15447"
"89","9","2014","LEVAC","ONTARIO LIBERAL PARTY","19396"
"90","9","2014","MITCHELL","FREEDOM                        ","180"
"91","9","2014","TURMEL","PAUPER PARTY OF ONTARIO","60"
"92","9","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","229"
"93","9","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","130"
"94","9","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","381"
"95","9","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","52284"
"96","9","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","99564"
"97","10","2014","ANDERSON","ONTARIO LIBERAL PARTY","11586"
"98","10","2014","GVENTER","NEW DEMOCRATIC PARTY OF ONTARIO","6787"
"99","10","2014","PARSONS","THE GREEN PARTY OF ONTARIO","3696"
"100","10","2014","SPENCE","FREEDOM                        ","200"
"101","10","2014","VOSKAMP","ONTARIO LIBERTARIAN PARTY","188"
"102","10","2014","WALKER","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","20359"
"103","10","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","184"
"104","10","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","118"
"105","10","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","378"
"106","10","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","43496"
"107","10","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","80646"
"108","11","2014","BRANNAN","FREEDOM                        ","245"
"109","11","2014","CROSS","THE GREEN PARTY OF ONTARIO","2250"
"110","11","2014","MCKENNA","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","20086"
"111","11","2014","MCMAHON","ONTARIO LIBERAL PARTY","23573"
"112","11","2014","MOWBRAY","NEW DEMOCRATIC PARTY OF ONTARIO","7792"
"113","11","2014","ZACH","ONTARIO LIBERTARIAN PARTY","363"
"114","11","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","227"
"115","11","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","111"
"116","11","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","484"
"117","11","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","55131"
"118","11","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","95504"
"119","12","2014","BROWN","THE GREEN PARTY OF ONTARIO","2726"
"120","12","2014","DETTWEILER","ONTARIO LIBERTARIAN PARTY","605"
"121","12","2014","LEONE","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","15694"
"122","12","2014","MCGARRY","ONTARIO LIBERAL PARTY","18763"
"123","12","2014","STEWART","ONTARIO LIBERTARIAN PARTY","10413"
"124","12","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","218"
"125","12","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","118"
"126","12","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","478"
"127","12","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","49015"
"128","12","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","100130"
"129","13","2014","HANSEN","NEW DEMOCRATIC PARTY OF ONTARIO","8744"
"130","13","2014","MACLAREN","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","30590"
"131","13","2014","STEVENS","ONTARIO LIBERAL PARTY","20472"
"132","13","2014","WEST","THE GREEN PARTY OF ONTARIO","4614"
"133","13","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","205"
"134","13","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","100"
"135","13","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","359"
"136","13","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","65084"
"137","13","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","116047"
"138","14","2014","BELL","THE GREEN PARTY OF ONTARIO","1971"
"139","14","2014","GELINAS","NEW DEMOCRATIC PARTY OF ONTARIO","11664"
"140","14","2014","JOHNSON","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","9158"
"141","14","2014","MCLARTY","ONTARIO LIBERTARIAN PARTY","514"
"142","14","2014","NICHOLLS","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","14183"
"143","14","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","209"
"144","14","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","132"
"145","14","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","438"
"146","14","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","38269"
"147","14","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","74559"
"148","15","2014","AHMAD","COMMUNIST                      ","172"
"149","15","2014","STEIN","THE GREEN PARTY OF ONTARIO","1784"
"150","15","2014","CAUCHI","FREEDOM                        ","110"
"151","15","2014","VENUTO","ONTARIO LIBERTARIAN PARTY","250"
"152","15","2014","DANIEL","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","2665"
"153","15","2014","YOUNG","THE PEOPLES POLITICAL PARTY","99"
"154","15","2014","MARTINS","ONTARIO LIBERAL PARTY","16272"
"155","15","2014","SCHEIN","NEW DEMOCRATIC PARTY OF ONTARIO","14322"
"156","15","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","183"
"157","15","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","99"
"158","15","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","151"
"159","15","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","36107"
"160","15","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","72851"
"161","16","2014","COTEAU","ONTARIO LIBERAL PARTY","19248"
"162","16","2014","KENNEDY","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","9257"
"163","16","2014","MCLEOD","THE GREEN PARTY OF ONTARIO","1256"
"164","16","2014","SADIKALI","NEW DEMOCRATIC PARTY OF ONTARIO","4500"
"165","16","2014","SIMMONS","FREEDOM                        ","287"
"166","16","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","150"
"167","16","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","94"
"168","16","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","171"
"169","16","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","34963"
"170","16","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","73070"
"171","17","2014","AHMED","NEW DEMOCRATIC PARTY OF ONTARIO","3569"
"172","17","2014","BOYD","ONTARIO LIBERTARIAN PARTY","338"
"173","17","2014","BURROWS","INDEPENDENT","138"
"174","17","2014","CURLEY","FREEDOM                        ","83"
"175","17","2014","FLISS","THE GREEN PARTY OF ONTARIO","1286"
"176","17","2014","KABITSIS","COMMUNIST                      ","153"
"177","17","2014","PORTER","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","14082"
"178","17","2014","WAIGH","VEGAN ENVIRONMENTAL PARTY","116"
"179","17","2014","WYNNE","ONTARIO LIBERAL PARTY","26215"
"180","17","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","147"
"181","17","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","112"
"182","17","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","161"
"183","17","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","46400"
"184","17","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","86092"
"185","18","2014","DAID","ONTARIO LIBERAL PARTY","13861"
"186","18","2014","JONES","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","18017"
"187","18","2014","KOWALEWSKI","ONTARIO LIBERTARIAN PARTY","538"
"188","18","2014","WALLACE","THE GREEN PARTY OF ONTARIO","7518"
"189","18","2014","YAZBEK","NEW DEMOCRATIC PARTY OF ONTARIO","5269"
"190","18","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","201"
"191","18","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","113"
"192","18","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","313"
"193","18","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","45830"
"194","18","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","89024"
"195","19","2014","ANDERSON","ONTARIO LIBERAL PARTY","19816"
"196","19","2014","PATRICK","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","18640"
"197","19","2014","SPENCE","FREEDOM                        ","13094"
"198","19","2014","TOYE","ONTARIO LIBERTARIAN PARTY","434"
"199","19","2014","ZALUCKY","THE GREEN PARTY OF ONTARIO","2382"
"200","19","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","237"
"201","19","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","170"
"202","19","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","603"
"203","19","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","55376"
"204","19","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","99404"
"205","20","2014","BONE","FREEDOM                        ","264"
"206","20","2014","COLLE","ONTARIO LIBERAL PARTY","22855"
"207","20","2014","GALLEZOT","NEW DEMOCRATIC PARTY OF ONTARIO","3060"
"208","20","2014","MARTIN","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","14079"
"209","20","2014","MCCANN","THE GREEN PARTY OF ONTARIO","1305"
"210","20","2014","SNIEDZINS","INDEPENDENT","143"
"211","20","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","160"
"212","20","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","83"
"213","20","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","131"
"214","20","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","42080"
"215","20","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","77946"
"216","21","2014","CORNISH","NEW DEMOCRATIC PARTY OF ONTARIO","12034"
"217","21","2014","FISHER","THE GREEN PARTY OF ONTARIO","2236"
"218","21","2014","LAVOIE","ONTARIO LIBERAL PARTY","9183"
"219","21","2014","MALONEY","FREEDOM                        ","784"
"220","21","2014","YUREK","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","20946"
"221","21","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","145"
"222","21","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","126"
"223","21","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","411"
"224","21","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","45865"
"225","21","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","84970"
"226","22","2014","CECILE","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","10169"
"227","22","2014","MELOCHE","ONTARIO LIBERAL PARTY","6628"
"228","22","2014","NATYSHAK","NEW DEMOCRATIC PARTY OF ONTARIO","28118"
"229","22","2014","VERCOUTEREN","THE GREEN PARTY OF ONTARIO","1685"
"230","22","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","165"
"231","22","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","132"
"232","22","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","295"
"233","22","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","47192"
"234","22","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","94008"
"235","23","2014","BAKER","ONTARIO LIBERAL PARTY","23848"
"236","23","2014","BUSSMANN","ONTARIO LIBERTARIAN PARTY","528"
"237","23","2014","JONES","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","5758"
"238","23","2014","KUESS","FREEDOM                        ","189"
"239","23","2014","MARTINO","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","15520"
"240","23","2014","MARTINS","ONTARIO LIBERAL PARTY","193"
"241","23","2014","MORRISON","THE GREEN PARTY OF ONTARIO","1254"
"242","23","2014","TRIGIANI","VEGAN ENVIRONMENTAL PARTY","142"
"243","23","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","271"
"244","23","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","92"
"245","23","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","317"
"246","23","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","48112"
"247","23","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","85192"
"248","24","2014","CHOO","NEW DEMOCRATIC PARTY OF ONTARIO","6362"
"249","24","2014","MILCZYN","ONTARIO LIBERAL PARTY","24311"
"250","24","2014","HOLYDAY","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","17587"
"251","24","2014","SALEWSKY","THE GREEN PARTY OF ONTARIO","2064"
"252","24","2014","LOCHWIN","SOCIALIST PARTY OF ONTARIO","236"
"253","24","2014","WRZESNIEWSKI","ONTARIO LIBERTARIAN PARTY","336"
"254","24","2014","LYTVYN","ONTARIO MODERATE PARTY","108"
"255","24","2014","MERKLINGER","FREEDOM                        ","189"
"256","24","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","215"
"257","24","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","101"
"258","24","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","232"
"259","24","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","51741"
"260","24","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","96304"
"261","25","2014","BARRIFFE","NEW DEMOCRATIC PARTY OF ONTARIO","7103"
"262","25","2014","DEROO","ONTARIO LIBERTARIAN PARTY","706"
"263","25","2014","MCCONNELL","FREEDOM                        ","281"
"264","25","2014","MILONE","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","6163"
"265","25","2014","QAADRI","ONTARIO LIBERAL PARTY","12168"
"266","25","2014","ROBERTSON","THE GREEN PARTY OF ONTARIO","677"
"267","25","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","179"
"268","25","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","98"
"269","25","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","83"
"270","25","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","27458"
"271","25","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","64284"
"272","26","2014","CRACK","ONTARIO LIBERAL PARTY","23565"
"273","26","2014","DONNELLY","ONTARIO LIBERTARIAN PARTY","422"
"274","26","2014","GAGNIER","INDEPENDENT","296"
"275","26","2014","LEDUC","FREEDOM                        ","233"
"276","26","2014","SABOURIN","NEW DEMOCRATIC PARTY OF ONTARIO","5902"
"277","26","2014","ST..MARTIN","ST..MARTIN","1528"
"278","26","2014","VILLENEUVE.ROBERTSON","VILLENEUVE.ROBERTSON","15429"
"279","26","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","359"
"280","26","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","71"
"281","26","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","79"
"282","26","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","47884"
"283","26","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","89741"
"284","27","2014","BURNETT","COMMUNIST                      ","178"
"285","27","2014","GORDON","NEW DEMOCRATIC PARTY OF ONTARIO","9385"
"286","27","2014","MACDONALD","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","11048"
"287","27","2014","SANDALS","ONTARIO LIBERAL PARTY","22014"
"288","27","2014","SCHREINER","THE GREEN PARTY OF ONTARIO","10230"
"289","27","2014","SMYTHE","ONTARIO LIBERTARIAN PARTY","170"
"290","27","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","194"
"291","27","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","90"
"292","27","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","278"
"293","27","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","53587"
"294","27","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","96599"
"295","28","2014","BARRETT","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","22066"
"296","28","2014","FAULKNER","THE GREEN PARTY OF ONTARIO","2071"
"297","28","2014","MOTTASHED","MOTTASHED","0"
"298","28","2014","NICHOLS","NEW DEMOCRATIC PARTY OF ONTARIO","9786"
"299","28","2014","ROBINSON","ONTARIO LIBERAL PARTY","8331"
"300","28","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","687"
"301","28","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","123"
"302","28","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","604"
"303","28","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","43668"
"304","28","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","80907"
"305","29","2014","ABEL","NEW DEMOCRATIC PARTY OF ONTARIO","10431"
"306","29","2014","AHMAD","COMMUNIST                      ","2255"
"307","29","2014","JOHNSON","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","18512"
"308","29","2014","SCOTT","THE GREEN PARTY OF ONTARIO","21641"
"309","29","2014","REJECTED.AS.TO.MARKINGS","REJECTED.AS.TO.MARKINGS","266"
"310","29","2014","UNMARKED.BY.VOTER","UNMARKED.BY.VOTER","156"
"311","29","2014","BALLOTS.DECLINED.BY.VOTERS","BALLOTS.DECLINED.BY.VOTERS","497"
"312","29","2014","TOTAL.VOTER.TURNOUT","TOTAL.VOTER.TURNOUT","53758"
"313","29","2014","NAMES.ON.LIST.OF.ELECTOR","NAMES.ON.LIST.OF.ELECTOR","96029"
"314","30","2014","CHUDLEIGH","PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO","27937"
"315","30","2014","FARRANT","THE GREEN PARTY OF ONTARIO","2618"
"316","30","2014","GHORY","ONTARIO LIBERTARIAN PARTY","916"
"317","30","2014","MARSH","FAMILY COALITION PARTY OF ONTARIO","346"
"318","30","2014","NAIDOO.HARRIS","NAIDOO.HARRIS","33724"
"319","30","2014","SPOHR","NEW DEMOCRATIC PARTY OF ONTARIO","9758"
